2025-02-13T14:27:22.808+07:00  WARN 24480 --- [EShopBackEnd] [http-nio-8081-exec-4] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8081-exec-4][shipping_rates/shipping_rates] Deprecated unwrapped fragment expression "fragments :: edit('rate' ,'/shipping_rates/edit/' + ${rate.id})" found in template shipping_rates/shipping_rates, line 52, col 30. Please use the complete syntax of fragment expressions instead ("~{fragments :: edit('rate' ,'/shipping_rates/edit/' + ${rate.id})}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2025-02-13T14:27:22.815+07:00  WARN 24480 --- [EShopBackEnd] [http-nio-8081-exec-4] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8081-exec-4][shipping_rates/shipping_rates] Deprecated unwrapped fragment expression "fragments :: elseDelete('rate' ,'/shipping_rates/delete/' + ${rate.id}, ${rate.id})" found in template shipping_rates/shipping_rates, line 55, col 30. Please use the complete syntax of fragment expressions instead ("~{fragments :: elseDelete('rate' ,'/shipping_rates/delete/' + ${rate.id}, ${rate.id})}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2025-02-13T14:27:22.824+07:00  WARN 24480 --- [EShopBackEnd] [http-nio-8081-exec-4] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8081-exec-4][shipping_rates/shipping_rates] Deprecated unwrapped fragment expression "shipping_rates/shipping_rates_fragments :: cod_support" found in template shipping_rates/shipping_rates, line 48, col 26. Please use the complete syntax of fragment expressions instead ("~{shipping_rates/shipping_rates_fragments :: cod_support}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2025-02-13T14:27:22.834+07:00  WARN 24480 --- [EShopBackEnd] [http-nio-8081-exec-4] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8081-exec-4][shipping_rates/shipping_rates] Deprecated unwrapped fragment expression "fragments :: edit('rate' ,'/shipping_rates/edit/' + ${rate.id})" found in template shipping_rates/shipping_rates, line 52, col 30. Please use the complete syntax of fragment expressions instead ("~{fragments :: edit('rate' ,'/shipping_rates/edit/' + ${rate.id})}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2025-02-13T14:27:22.840+07:00  WARN 24480 --- [EShopBackEnd] [http-nio-8081-exec-4] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8081-exec-4][shipping_rates/shipping_rates] Deprecated unwrapped fragment expression "fragments :: elseDelete('rate' ,'/shipping_rates/delete/' + ${rate.id}, ${rate.id})" found in template shipping_rates/shipping_rates, line 55, col 30. Please use the complete syntax of fragment expressions instead ("~{fragments :: elseDelete('rate' ,'/shipping_rates/delete/' + ${rate.id}, ${rate.id})}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2025-02-13T14:27:22.847+07:00  WARN 24480 --- [EShopBackEnd] [http-nio-8081-exec-4] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8081-exec-4][shipping_rates/shipping_rates] Deprecated unwrapped fragment expression "shipping_rates/shipping_rates_fragments :: cod_support" found in template shipping_rates/shipping_rates, line 48, col 26. Please use the complete syntax of fragment expressions instead ("~{shipping_rates/shipping_rates_fragments :: cod_support}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2025-02-13T14:27:22.864+07:00  WARN 24480 --- [EShopBackEnd] [http-nio-8081-exec-4] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8081-exec-4][shipping_rates/shipping_rates] Deprecated unwrapped fragment expression "fragments :: edit('rate' ,'/shipping_rates/edit/' + ${rate.id})" found in template shipping_rates/shipping_rates, line 52, col 30. Please use the complete syntax of fragment expressions instead ("~{fragments :: edit('rate' ,'/shipping_rates/edit/' + ${rate.id})}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2025-02-13T14:27:22.873+07:00  WARN 24480 --- [EShopBackEnd] [http-nio-8081-exec-4] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8081-exec-4][shipping_rates/shipping_rates] Deprecated unwrapped fragment expression "fragments :: elseDelete('rate' ,'/shipping_rates/delete/' + ${rate.id}, ${rate.id})" found in template shipping_rates/shipping_rates, line 55, col 30. Please use the complete syntax of fragment expressions instead ("~{fragments :: elseDelete('rate' ,'/shipping_rates/delete/' + ${rate.id}, ${rate.id})}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2025-02-13T14:27:22.880+07:00  WARN 24480 --- [EShopBackEnd] [http-nio-8081-exec-4] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8081-exec-4][shipping_rates/shipping_rates] Deprecated unwrapped fragment expression "shipping_rates/shipping_rates_fragments :: cod_support" found in template shipping_rates/shipping_rates, line 48, col 26. Please use the complete syntax of fragment expressions instead ("~{shipping_rates/shipping_rates_fragments :: cod_support}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2025-02-13T14:27:22.889+07:00  WARN 24480 --- [EShopBackEnd] [http-nio-8081-exec-4] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8081-exec-4][shipping_rates/shipping_rates] Deprecated unwrapped fragment expression "fragments :: edit('rate' ,'/shipping_rates/edit/' + ${rate.id})" found in template shipping_rates/shipping_rates, line 52, col 30. Please use the complete syntax of fragment expressions instead ("~{fragments :: edit('rate' ,'/shipping_rates/edit/' + ${rate.id})}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2025-02-13T14:27:22.897+07:00  WARN 24480 --- [EShopBackEnd] [http-nio-8081-exec-4] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8081-exec-4][shipping_rates/shipping_rates] Deprecated unwrapped fragment expression "fragments :: elseDelete('rate' ,'/shipping_rates/delete/' + ${rate.id}, ${rate.id})" found in template shipping_rates/shipping_rates, line 55, col 30. Please use the complete syntax of fragment expressions instead ("~{fragments :: elseDelete('rate' ,'/shipping_rates/delete/' + ${rate.id}, ${rate.id})}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2025-02-13T14:27:22.913+07:00  WARN 24480 --- [EShopBackEnd] [http-nio-8081-exec-4] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8081-exec-4][shipping_rates/shipping_rates] Deprecated unwrapped fragment expression "fragments :: pagination('/shipping_rates')" found in template shipping_rates/shipping_rates, line 64, col 10. Please use the complete syntax of fragment expressions instead ("~{fragments :: pagination('/shipping_rates')}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2025-02-13T14:27:23.015+07:00  WARN 24480 --- [EShopBackEnd] [http-nio-8081-exec-4] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8081-exec-4][shipping_rates/shipping_rates] Deprecated unwrapped fragment expression "modal_fragments :: confirm_modal" found in template shipping_rates/shipping_rates, line 68, col 6. Please use the complete syntax of fragment expressions instead ("~{modal_fragments :: confirm_modal}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2025-02-13T14:27:23.027+07:00  WARN 24480 --- [EShopBackEnd] [http-nio-8081-exec-4] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8081-exec-4][shipping_rates/shipping_rates] Deprecated unwrapped fragment expression "fragments :: footer" found in template shipping_rates/shipping_rates, line 69, col 6. Please use the complete syntax of fragment expressions instead ("~{fragments :: footer}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2025-02-13T14:27:32.620+07:00  WARN 24480 --- [EShopBackEnd] [http-nio-8081-exec-9] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8081-exec-9][orders/orders] Deprecated unwrapped fragment expression "fragments :: page_head('Manage Order', 'none')" found in template orders/orders, line 3, col 7. Please use the complete syntax of fragment expressions instead ("~{fragments :: page_head('Manage Order', 'none')}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2025-02-13T14:27:32.636+07:00  WARN 24480 --- [EShopBackEnd] [http-nio-8081-exec-9] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8081-exec-9][orders/orders] Deprecated unwrapped fragment expression "navigation :: menu" found in template orders/orders, line 8, col 6. Please use the complete syntax of fragment expressions instead ("~{navigation :: menu}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2025-02-13T14:27:32.694+07:00  WARN 24480 --- [EShopBackEnd] [http-nio-8081-exec-9] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8081-exec-9][orders/orders] Deprecated unwrapped fragment expression "fragments :: search_form_and_message('/orders/page/1')" found in template orders/orders, line 19, col 14. Please use the complete syntax of fragment expressions instead ("~{fragments :: search_form_and_message('/orders/page/1')}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2025-02-13T14:27:32.702+07:00  WARN 24480 --- [EShopBackEnd] [http-nio-8081-exec-9] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8081-exec-9][orders/orders] Deprecated unwrapped fragment expression "fragments :: column_link('/orders','id', 'Id')" found in template orders/orders, line 27, col 25. Please use the complete syntax of fragment expressions instead ("~{fragments :: column_link('/orders','id', 'Id')}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
